Time,Latitude,Longitude,Place,Magnitude
2023-12-31T14:37:38.234Z,28.1762,130.6658,Japan,4.8
2023-12-30T22:39:19.128Z,40.0474,142.1067,Japan,4.3
2023-12-30T06:07:30.619Z,42.8445,142.4671,Japan,4.5
2023-12-28T14:49:23.436Z,27.8668,128.9747,Japan,4.5
2023-12-28T13:16:53.788Z,40.5601,142.4133,Japan,4.8
2023-12-26T23:43:49.317Z,33.822,138.2459,Japan,4.4
2023-12-26T22:53:57.739Z,41.9589,142.2525,Japan,4.7
2023-12-26T22:38:35.351Z,26.0895,128.6231,Japan,4.0
2023-12-26T08:14:02.434Z,25.9254,128.5175,Japan,4.4
2023-12-25T04:49:01.655Z,33.149,137.7852,Japan,5.0
2023-12-24T14:02:16.944Z,24.9607,122.747,Japan,4.1
2023-12-24T13:27:24.119Z,24.9571,122.6719,Japan,4.5
2023-12-24T13:22:12.359Z,24.9169,122.7385,Japan,4.7
2023-12-24T13:11:31.176Z,24.9264,122.6937,Japan,4.1
2023-12-24T11:55:30.075Z,42.907,143.1013,Japan,4.4
2023-12-23T20:38:24.003Z,33.2631,141.3365,Japan,4.1
2023-12-22T22:29:10.695Z,35.112,141.2852,Japan,4.3
2023-12-22T10:19:46.886Z,33.3385,139.5527,Japan,4.3
2023-12-22T09:30:52.877Z,42.0236,142.5991,Japan,4.2
2023-12-22T06:10:46.831Z,37.5527,138.998,Japan,4.0
2023-12-22T01:46:00.210Z,40.1554,142.2311,Japan,4.5
2023-12-21T20:45:23.021Z,35.2045,140.9422,Japan,5.0
2023-12-21T18:36:32.855Z,35.2448,141.1349,Japan,4.3
2023-12-21T16:11:56.366Z,35.1443,141.1149,Japan,4.8
2023-12-21T15:02:38.619Z,35.1595,140.8563,Japan,4.8
2023-12-21T14:17:23.770Z,35.1364,141.1433,Japan,4.6
2023-12-21T14:04:11.571Z,35.2431,141.0136,Japan,5.2
2023-12-21T14:03:33.305Z,35.0969,141.3057,Japan,4.5
2023-12-21T11:29:51.481Z,35.1413,141.1851,Japan,4.7
2023-12-20T17:31:32.771Z,38.521,142.1695,Japan,4.3
2023-12-19T14:04:12.124Z,24.1996,125.9389,Japan,4.5
2023-12-18T11:28:48.536Z,27.625,129.9196,Japan,4.2
2023-12-17T16:17:06.303Z,37.8385,144.3904,Japan,4.5
2023-12-17T11:01:51.040Z,26.0318,128.6546,Japan,4.4
2023-12-17T05:11:39.056Z,36.2197,139.6826,Japan,4.7
2023-12-16T08:16:33.993Z,25.959,128.5374,Japan,4.4
2023-12-16T02:04:01.450Z,37.4842,142.4099,Japan,4.5
2023-12-16T00:15:11.457Z,39.8135,141.8833,Japan,4.4
2023-12-15T10:00:39.684Z,45.1227,141.3315,Japan,4.3
2023-12-14T09:38:01.851Z,41.2662,142.3607,Japan,4.2
2023-12-13T17:14:59.680Z,25.8578,124.3128,Japan,4.0
2023-12-12T01:19:25.315Z,35.5688,140.17,Japan,4.0
2023-12-11T15:41:36.899Z,26.2374,128.215,Japan,4.4
2023-12-11T15:00:30.040Z,26.0949,128.4027,Japan,4.2
2023-12-11T12:28:12.785Z,35.9088,139.9124,Japan,4.3
2023-12-11T08:09:10.839Z,38.7725,142.3649,Japan,4.4
2023-12-10T02:28:05.028Z,43.1071,138.2392,Japan,4.2
2023-12-09T18:31:04.016Z,35.9524,141.4826,Japan,4.4
2023-12-09T07:03:46.126Z,34.4731,140.2525,Japan,4.5
2023-12-09T06:19:24.991Z,24.5302,122.6415,Japan,4.5
2023-12-08T17:01:52.676Z,25.1594,126.8582,Japan,4.3
2023-12-08T13:11:26.713Z,24.1184,125.3006,Japan,4.4
2023-12-08T11:31:35.171Z,31.1853,130.9004,Japan,4.2
2023-12-07T23:27:47.682Z,38.9102,144.6214,Japan,4.4
2023-12-07T03:12:30.279Z,33.8207,136.3408,Japan,4.4
2023-12-06T03:08:39.350Z,36.0184,140.3382,Japan,4.1
2023-12-05T21:02:53.980Z,24.0643,125.4049,Japan,4.2
2023-12-04T12:28:32.077Z,25.243,124.7789,Japan,4.3
2023-12-02T20:03:09.216Z,27.6777,126.4703,Japan,4.3
2023-12-02T00:35:38.208Z,39.776,140.6913,Japan,4.4
2023-12-01T03:52:13.496Z,37.9594,141.8354,Japan,4.7
2023-12-01T02:14:40.289Z,36.0422,139.8737,Japan,4.4
2023-11-30T12:16:45.391Z,29.3378,130.6944,Japan,4.6
2023-11-29T15:48:51.974Z,35.0124,140.4536,Japan,4.7
2023-11-29T02:47:41.514Z,25.0549,125.4397,Japan,4.5
2023-11-28T17:34:04.551Z,26.8971,126.8152,Japan,4.5
2023-11-28T03:02:56.518Z,36.1101,141.9688,Japan,4.3
2023-11-27T20:35:22.575Z,34.3837,137.5687,Japan,4.6
2023-11-27T15:23:48.722Z,29.3106,130.4432,Japan,4.5
2023-11-26T18:25:10.407Z,37.6874,141.7612,Japan,4.4
2023-11-26T09:39:48.463Z,26.8593,126.9983,Japan,5.3
2023-11-26T04:31:10.367Z,24.0191,122.4844,Japan,4.9
2023-11-26T04:11:43.485Z,23.9905,122.4639,Japan,4.5
2023-11-26T01:47:09.705Z,37.9114,142.5405,Japan,4.8
2023-11-25T20:58:45.012Z,40.6855,139.6974,Japan,4.1
2023-11-25T11:01:09.117Z,23.914,123.3848,Japan,4.2
2023-11-25T01:54:37.848Z,36.4978,140.5697,Japan,4.5
2023-11-24T07:06:59.497Z,25.5533,125.8091,Japan,4.4
2023-11-24T06:20:15.469Z,39.6249,143.2494,Japan,4.3
2023-11-22T23:34:52.544Z,25.5508,124.9239,Japan,4.4
2023-11-22T16:52:29.966Z,30.1019,131.2216,Japan,4.2
2023-11-22T02:03:42.282Z,28.2913,130.0506,Japan,4.2
2023-11-20T21:26:04.497Z,37.7212,142.0707,Japan,4.3
2023-11-20T19:34:55.447Z,25.8749,128.4382,Japan,4.4
2023-11-20T06:54:43.859Z,25.5391,125.325,Japan,4.5
2023-11-20T05:01:07.964Z,41.4464,142.2265,Japan,4.3
2023-11-19T21:01:30.533Z,41.2349,142.214,Japan,5.8
2023-11-19T20:24:43.045Z,25.8857,128.4509,Japan,5.0
2023-11-18T01:55:46.580Z,34.2551,141.3975,Japan,4.4
2023-11-17T18:47:22.337Z,38.1854,144.2908,Japan,4.4
